variant,family,layer,layer_type,mean_output_rms,observations
base,bit_manipulation,0,mamba,0.02668040618300438,4
base,bit_manipulation,1,moe,0.03440021723508835,4
base,bit_manipulation,2,mamba,0.05616552382707596,4
base,bit_manipulation,3,moe,0.07499093562364578,4
base,bit_manipulation,4,mamba,0.14637374877929688,4
base,bit_manipulation,5,attention,0.15277311205863953,4
base,bit_manipulation,6,moe,0.1425381600856781,4
base,bit_manipulation,7,mamba,0.1698477864265442,4
base,bit_manipulation,8,moe,0.1834242343902588,4
base,bit_manipulation,9,mamba,0.233818918466568,4
base,bit_manipulation,10,moe,0.33296865224838257,4
base,bit_manipulation,11,mamba,0.5556166172027588,4
base,bit_manipulation,12,attention,0.5450544357299805,4
base,bit_manipulation,13,moe,0.6333751082420349,4
base,bit_manipulation,14,mamba,0.6898496747016907,4
base,bit_manipulation,15,moe,0.7429028749465942,4
base,bit_manipulation,16,mamba,0.7801346778869629,4
base,bit_manipulation,17,moe,0.9199861288070679,4
base,bit_manipulation,18,mamba,1.0540207624435425,4
base,bit_manipulation,19,attention,1.0121482610702515,4
base,bit_manipulation,20,moe,1.089311122894287,4
base,bit_manipulation,21,mamba,1.1505012512207031,4
base,bit_manipulation,22,moe,1.3442295789718628,4
base,bit_manipulation,23,mamba,1.3852708339691162,4
base,bit_manipulation,24,moe,1.6984775066375732,4
base,bit_manipulation,25,mamba,1.9216220378875732,4
base,bit_manipulation,26,attention,1.8172811269760132,4
base,bit_manipulation,27,moe,2.1272716522216797,4
base,bit_manipulation,28,mamba,2.2697439193725586,4
base,bit_manipulation,29,moe,2.579162836074829,4
base,bit_manipulation,30,mamba,2.898759365081787,4
base,bit_manipulation,31,moe,3.2614035606384277,4
base,bit_manipulation,32,mamba,3.677586317062378,4
base,bit_manipulation,33,attention,3.52345609664917,4
base,bit_manipulation,34,moe,3.901811122894287,4
base,bit_manipulation,35,mamba,4.189678192138672,4
base,bit_manipulation,36,moe,4.41813850402832,4
base,bit_manipulation,37,mamba,4.6564555168151855,4
base,bit_manipulation,38,moe,5.236236572265625,4
base,bit_manipulation,39,mamba,5.4966888427734375,4
base,bit_manipulation,40,moe,6.422161102294922,4
base,bit_manipulation,41,mamba,7.041625022888184,4
base,bit_manipulation,42,attention,6.640600204467773,4
base,bit_manipulation,43,moe,6.7498321533203125,4
base,bit_manipulation,44,mamba,7.154367923736572,4
base,bit_manipulation,45,moe,7.536316871643066,4
base,bit_manipulation,46,mamba,8.168668746948242,4
base,bit_manipulation,47,moe,8.995660781860352,4
base,bit_manipulation,48,mamba,10.200210571289062,4
base,bit_manipulation,49,moe,11.213581085205078,4
base,bit_manipulation,50,mamba,13.824724197387695,4
base,bit_manipulation,51,moe,16.649927139282227,4
base,equation_transform,0,mamba,0.02743929624557495,4
base,equation_transform,1,moe,0.03522751107811928,4
base,equation_transform,2,mamba,0.054150115698575974,4
base,equation_transform,3,moe,0.07258438318967819,4
base,equation_transform,4,mamba,0.19183379411697388,4
base,equation_transform,5,attention,0.19375678896903992,4
