name,layer,class_name,module_family,direct_parameters
"",,NemotronHForCausalLM,other,0
backbone,,NemotronHModel,other,0
backbone.embeddings,,Embedding,other,352321536
backbone.layers,,ModuleList,other,0
backbone.layers.0,0,NemotronHBlock,other,0
backbone.layers.0.norm,0,NemotronHRMSNorm,other,2688
backbone.layers.0.mixer,0,NemotronHMamba2Mixer,mamba,192
backbone.layers.0.mixer.act,0,SiLUActivation,other,0
backbone.layers.0.mixer.conv1d,0,Conv1d,other,30720
backbone.layers.0.mixer.in_proj,0,Linear,mamba_projection,27697152
backbone.layers.0.mixer.norm,0,MambaRMSNormGated,mamba,4096
backbone.layers.0.mixer.out_proj,0,Linear,mamba_projection,11010048
backbone.layers.1,1,NemotronHBlock,other,0
backbone.layers.1.norm,1,NemotronHRMSNorm,other,2688
backbone.layers.1.mixer,1,NemotronHMOE,moe,0
backbone.layers.1.mixer.experts,1,ModuleList,other,0
backbone.layers.1.mixer.experts.0,1,NemotronHMLP,routed_expert,0
backbone.layers.1.mixer.experts.0.up_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.0.down_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.0.act_fn,1,ReLUSquaredActivation,routed_expert,0
backbone.layers.1.mixer.experts.1,1,NemotronHMLP,routed_expert,0
backbone.layers.1.mixer.experts.1.up_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.1.down_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.1.act_fn,1,ReLUSquaredActivation,routed_expert,0
backbone.layers.1.mixer.experts.2,1,NemotronHMLP,routed_expert,0
backbone.layers.1.mixer.experts.2.up_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.2.down_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.2.act_fn,1,ReLUSquaredActivation,routed_expert,0
backbone.layers.1.mixer.experts.3,1,NemotronHMLP,routed_expert,0
backbone.layers.1.mixer.experts.3.up_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.3.down_proj,1,Linear,routed_expert,4988928
backbone.layers.1.mixer.experts.3.act_fn,1,ReLUSquaredActivation,routed_expert,0
backbone.layers.1.mixer.experts.4,1,NemotronHMLP,routed_expert,0
