variant,family_left,family_right,mean_layer_cosine,mean_topk_jaccard
base,bit_manipulation,equation_transform,0.7131094227118602,0.33983658230813757
base,bit_manipulation,gravity_formula,0.56719204257676,0.2553525492004079
base,bit_manipulation,numeral_system,0.6735272829005305,0.311474426343079
base,bit_manipulation,text_decryption,0.6035803277252041,0.29476991542306713
base,bit_manipulation,unit_conversion,0.6768201365418396,0.3435788835069279
base,equation_transform,gravity_formula,0.6840595815823142,0.349535816097318
base,equation_transform,numeral_system,0.8845592078584269,0.5387433009400973
base,equation_transform,text_decryption,0.7133299378116891,0.3358634252396067
base,equation_transform,unit_conversion,0.8279139959075806,0.48190975806934416
base,gravity_formula,numeral_system,0.6657779206598322,0.2982032614651088
base,gravity_formula,text_decryption,0.5337659813991532,0.22502534367471463
base,gravity_formula,unit_conversion,0.7918337372391333,0.45553371445322494
base,numeral_system,text_decryption,0.7209578990979822,0.35327921825281844
base,numeral_system,unit_conversion,0.8101778997987409,0.4363380790601963
base,text_decryption,unit_conversion,0.6456204542309153,0.2944406668518526
