variant,profile_mode,family,row_id,tokens,elapsed_ms,peak_allocated_gib
base,routing_activation,bit_manipulation,63217d23-loo,262,21112.76658199995,61.996891021728516
base,routing_activation,bit_manipulation,104dc8aa-loo,205,292.53212300000087,61.87586545944214
base,routing_activation,bit_manipulation,021ed764-loo,243,291.85646199994153,61.90381956100464
base,routing_activation,bit_manipulation,b9734394-loo,243,291.8314530002135,61.90381956100464
base,routing_activation,equation_transform,7a9711b1-loo,79,454.86717899984797,61.78309869766235
base,routing_activation,equation_transform,4dcc1844-loo,100,274.6093129999281,61.79834032058716
base,routing_activation,equation_transform,4dcc1844,110,276.8662739999854,61.80571460723877
base,routing_activation,equation_transform,a8e5eca1-loo,80,1243.36183000014,61.783591747283936
base,routing_activation,gravity_formula,59148e34-loo,149,286.3939929998196,61.834500312805176
base,routing_activation,gravity_formula,037c45c6,149,285.5856529999983,61.834500312805176
base,routing_activation,gravity_formula,ba598f58,168,287.7848630000699,61.84851121902466
base,routing_activation,gravity_formula,1c41e87d,126,280.1512930000172,61.817538261413574
base,routing_activation,numeral_system,21c09ced,74,272.81046300004164,61.77921676635742
base,routing_activation,numeral_system,eb2d32ba,77,270.52705400001287,61.782161712646484
base,routing_activation,numeral_system,cb91b493,83,269.87708299975566,61.78585386276245
base,routing_activation,numeral_system,7202052e,83,268.71174300003986,61.78585386276245
base,routing_activation,text_decryption,a2bdb410-loo,117,277.3358430004009,61.810951232910156
base,routing_activation,text_decryption,073c40ce,157,283.78226399991036,61.84044933319092
base,routing_activation,text_decryption,3a221bb6,153,282.721063000281,61.83749961853027
base,routing_activation,text_decryption,1e378206,178,284.9893429997792,61.85593509674072
base,routing_activation,unit_conversion,90ae7158,124,278.1022330000269,61.81613779067993
base,routing_activation,unit_conversion,8fcd107e,107,274.92314299979626,61.80360174179077
base,routing_activation,unit_conversion,99e18140-loo,109,275.97004300014305,61.805076599121094
base,routing_activation,unit_conversion,a9445539,107,275.1268629999686,61.80360174179077
