variant,layer,expert,count,weight_sum,family_coverage,total_families,balanced_routing_share,balanced_weight_share,rank_in_layer,up_proj_module,down_proj_module
base,49,95,1353,833.24095787853,6,6,0.06463003764464681,0.09576266959608784,1,backbone.layers.49.mixer.experts.95.up_proj,backbone.layers.49.mixer.experts.95.down_proj
base,49,78,1326,801.2521608173847,6,6,0.06100513598008648,0.08538147150076678,2,backbone.layers.49.mixer.experts.78.up_proj,backbone.layers.49.mixer.experts.78.down_proj
base,49,21,620,311.64317032694817,6,6,0.038803171189871845,0.046680534971758766,3,backbone.layers.49.mixer.experts.21.up_proj,backbone.layers.49.mixer.experts.21.down_proj
base,49,74,586,239.43310918658972,6,6,0.03408131686166907,0.0339660444848663,4,backbone.layers.49.mixer.experts.74.up_proj,backbone.layers.49.mixer.experts.74.down_proj
base,49,82,655,177.5996920624748,6,6,0.03285449517325463,0.02149517428224246,5,backbone.layers.49.mixer.experts.82.up_proj,backbone.layers.49.mixer.experts.82.down_proj
base,49,61,695,333.6778201982379,6,6,0.030982005622930527,0.03522648961352533,6,backbone.layers.49.mixer.experts.61.up_proj,backbone.layers.49.mixer.experts.61.down_proj
base,49,115,519,245.3999679237604,6,6,0.028896173517877995,0.03320243306967138,7,backbone.layers.49.mixer.experts.115.up_proj,backbone.layers.49.mixer.experts.115.down_proj
base,49,52,537,248.0882302671671,6,6,0.027956067709749045,0.031604828805548,8,backbone.layers.49.mixer.experts.52.up_proj,backbone.layers.49.mixer.experts.52.down_proj
base,40,15,1892,995.1561907753348,6,6,0.10241612578378678,0.13635923273274406,1,backbone.layers.40.mixer.experts.15.up_proj,backbone.layers.40.mixer.experts.15.down_proj
base,40,12,1498,761.6617999225855,6,6,0.0897457703244743,0.11549833219042091,2,backbone.layers.40.mixer.experts.12.up_proj,backbone.layers.40.mixer.experts.12.down_proj
base,40,127,1162,389.49803868308663,6,6,0.06417917712913751,0.050915259760352174,3,backbone.layers.40.mixer.experts.127.up_proj,backbone.layers.40.mixer.experts.127.down_proj
base,40,92,680,317.8745592609048,6,6,0.03651538577991658,0.041944396318336664,4,backbone.layers.40.mixer.experts.92.up_proj,backbone.layers.40.mixer.experts.92.down_proj
base,40,62,626,195.2502230629325,6,6,0.032102262645681064,0.023533055442962334,5,backbone.layers.40.mixer.experts.62.up_proj,backbone.layers.40.mixer.experts.62.down_proj
base,40,9,496,268.7660622894764,6,6,0.028899918866946685,0.037589347211009774,6,backbone.layers.40.mixer.experts.9.up_proj,backbone.layers.40.mixer.experts.9.down_proj
base,40,18,539,153.06478483229876,6,6,0.027786183714618766,0.018584886770688282,7,backbone.layers.40.mixer.experts.18.up_proj,backbone.layers.40.mixer.experts.18.down_proj
base,40,112,864,687.7270472869277,6,6,0.026551486661635523,0.049079675065745135,8,backbone.layers.40.mixer.experts.112.up_proj,backbone.layers.40.mixer.experts.112.down_proj
base,38,101,1525,803.3692120313644,6,6,0.0874008225746088,0.11379352728954958,1,backbone.layers.38.mixer.experts.101.up_proj,backbone.layers.38.mixer.experts.101.down_proj
base,38,85,1285,581.3775159269571,6,6,0.06156425565837027,0.06550822752226569,2,backbone.layers.38.mixer.experts.85.up_proj,backbone.layers.38.mixer.experts.85.down_proj
base,38,112,1055,441.08627701178193,6,6,0.05914242961475575,0.05851399734818992,3,backbone.layers.38.mixer.experts.112.up_proj,backbone.layers.38.mixer.experts.112.down_proj
base,38,20,840,378.36348827183247,6,6,0.053119759450165185,0.05712045914030198,4,backbone.layers.38.mixer.experts.20.up_proj,backbone.layers.38.mixer.experts.20.down_proj
base,38,57,1117,827.6108942180872,6,6,0.052666774405523115,0.08570734887463577,5,backbone.layers.38.mixer.experts.57.up_proj,backbone.layers.38.mixer.experts.57.down_proj
base,38,14,856,542.376362837851,6,6,0.04536006957643091,0.06648494777823677,6,backbone.layers.38.mixer.experts.14.up_proj,backbone.layers.38.mixer.experts.14.down_proj
base,38,63,605,253.65817480534315,6,6,0.03197370227503958,0.03025740696265817,7,backbone.layers.38.mixer.experts.63.up_proj,backbone.layers.38.mixer.experts.63.down_proj
base,38,26,479,197.44105657935143,6,6,0.026659807277792914,0.027664993670102046,8,backbone.layers.38.mixer.experts.26.up_proj,backbone.layers.38.mixer.experts.26.down_proj
base,6,106,945,414.43367996811867,6,6,0.050499001054585525,0.053732749487547006,1,backbone.layers.6.mixer.experts.106.up_proj,backbone.layers.6.mixer.experts.106.down_proj
base,6,52,1119,602.5242230892181,6,6,0.049641796537588795,0.06285509090633432,2,backbone.layers.6.mixer.experts.52.up_proj,backbone.layers.6.mixer.experts.52.down_proj
base,6,111,674,274.0343562364578,6,6,0.03258895844272446,0.03243452230578358,3,backbone.layers.6.mixer.experts.111.up_proj,backbone.layers.6.mixer.experts.111.down_proj
base,6,13,402,154.83941428735852,6,6,0.020968141691989007,0.0196773159777995,4,backbone.layers.6.mixer.experts.13.up_proj,backbone.layers.6.mixer.experts.13.down_proj
base,6,127,435,185.22600550949574,6,6,0.020797613802930496,0.021512481043363174,5,backbone.layers.6.mixer.experts.127.up_proj,backbone.layers.6.mixer.experts.127.down_proj
