variant,family,layer,expert,count,weight_sum
base,bit_manipulation,1,11,21,7.782984912395477
base,bit_manipulation,1,34,24,12.451210349798203
base,bit_manipulation,1,69,8,4.347089171409607
base,bit_manipulation,1,74,42,16.30625969171524
base,bit_manipulation,1,113,41,17.597176551818848
base,bit_manipulation,1,24,48,18.4549557864666
base,bit_manipulation,1,12,408,167.212795317173
base,bit_manipulation,1,29,20,7.166485816240311
base,bit_manipulation,1,45,28,11.048431932926178
base,bit_manipulation,1,57,20,8.13955146074295
base,bit_manipulation,1,119,38,11.829657599329948
base,bit_manipulation,1,6,167,64.36599931120872
base,bit_manipulation,1,1,19,8.178439110517502
base,bit_manipulation,1,8,56,23.744130164384842
base,bit_manipulation,1,9,48,17.892960965633392
base,bit_manipulation,1,64,128,52.64552500844002
base,bit_manipulation,1,85,39,16.669452905654907
base,bit_manipulation,1,15,63,22.97487485408783
base,bit_manipulation,1,54,40,14.99696558713913
base,bit_manipulation,1,117,34,13.932855993509293
base,bit_manipulation,1,60,16,7.684171974658966
base,bit_manipulation,1,110,12,5.482740134000778
base,bit_manipulation,1,125,70,30.747438579797745
base,bit_manipulation,1,94,28,8.575845196843147
base,bit_manipulation,1,55,45,17.091423749923706
base,bit_manipulation,1,83,45,15.69326576590538
base,bit_manipulation,1,120,71,36.680825024843216
base,bit_manipulation,1,39,12,4.603415459394455
base,bit_manipulation,1,7,94,43.68963807821274
base,bit_manipulation,1,31,78,38.77687004208565
base,bit_manipulation,1,41,78,36.2944039106369
base,bit_manipulation,1,101,48,17.293906331062317
base,bit_manipulation,1,43,41,16.0585375726223
base,bit_manipulation,1,76,123,47.91754546761513
base,bit_manipulation,1,121,17,6.896202951669693
base,bit_manipulation,1,93,14,4.243745893239975
base,bit_manipulation,1,44,53,18.59358613193035
base,bit_manipulation,1,46,74,32.41723710298538
base,bit_manipulation,1,97,24,7.609357863664627
base,bit_manipulation,1,111,35,16.169878631830215
base,bit_manipulation,1,86,12,4.731641262769699
base,bit_manipulation,1,73,16,8.480966925621033
base,bit_manipulation,1,79,22,10.025000303983688
base,bit_manipulation,1,100,60,26.40673765540123
base,bit_manipulation,1,23,17,5.685138165950775
base,bit_manipulation,1,30,15,5.849900096654892
base,bit_manipulation,1,47,28,12.310879647731781
base,bit_manipulation,1,50,8,3.492220461368561
base,bit_manipulation,1,105,28,11.397272497415543
base,bit_manipulation,1,58,29,11.896523177623749
base,bit_manipulation,1,68,134,49.015437453985214
base,bit_manipulation,1,116,43,19.679632633924484
base,bit_manipulation,1,123,47,22.34468564391136
base,bit_manipulation,1,14,27,10.765255451202393
base,bit_manipulation,1,3,75,29.692485749721527
base,bit_manipulation,1,33,41,16.481572180986404
base,bit_manipulation,1,84,16,5.6563593447208405
base,bit_manipulation,1,65,32,12.056225180625916
base,bit_manipulation,1,0,38,17.817558735609055
base,bit_manipulation,1,27,16,6.011782079935074
base,bit_manipulation,1,25,77,33.09796699881554
base,bit_manipulation,1,61,8,4.441547155380249
base,bit_manipulation,1,81,36,12.599049031734467
base,bit_manipulation,1,108,174,67.84422901272774
base,bit_manipulation,1,10,20,8.79847303032875
base,bit_manipulation,1,17,19,7.5311597883701324
base,bit_manipulation,1,122,23,9.40185073018074
base,bit_manipulation,1,77,4,1.3853779733181
base,bit_manipulation,1,66,19,6.990132719278336
base,bit_manipulation,1,99,24,11.028709203004837
base,bit_manipulation,1,59,12,6.110671639442444
