variant,family,layer,assignments,active_experts,available_experts,expert_coverage,entropy,observed_normalized_entropy,available_normalized_entropy,top_expert_share
base,bit_manipulation,1,5718,123,128,0.9609375,4.365306165264114,0.9071361034600847,0.8996865080840794,0.07135362014690451
base,bit_manipulation,3,5718,124,128,0.96875,4.465950159708485,0.9264915542642006,0.9204291640383865,0.06155998600909409
base,bit_manipulation,6,5718,124,128,0.96875,4.166077545674353,0.8642809530881483,0.8586256307290363,0.08464498076250437
base,bit_manipulation,8,5718,112,128,0.875,4.161179334654738,0.881886262592792,0.857616112908004,0.0701294158796782
base,bit_manipulation,10,5718,103,128,0.8046875,3.6966713433029166,0.7976024817612828,0.7618813449684944,0.09951031829310948
base,bit_manipulation,13,5718,103,128,0.8046875,3.7197311486205464,0.8025779194570343,0.7666339545078672,0.1453305351521511
base,bit_manipulation,15,5718,111,128,0.8671875,3.912701014291982,0.830804952307491,0.8064049071143229,0.07642532353969919
base,bit_manipulation,17,5718,106,128,0.828125,3.909748573102944,0.8383831104472422,0.8057964110769027,0.07869884575026233
base,bit_manipulation,20,5718,106,128,0.828125,3.8938015982004535,0.8349635364846221,0.8025097508470449,0.08849247988807275
base,bit_manipulation,22,5718,119,128,0.9296875,4.079648509852995,0.8536394834185108,0.8408126676764237,0.09986009094088842
base,bit_manipulation,24,5718,104,128,0.8125,3.4800894809043195,0.7493102015912781,0.7172439765643585,0.1428821266176985
base,bit_manipulation,27,5718,107,128,0.8359375,3.582536313344162,0.7666739870553604,0.7383581961523218,0.15407485134662469
base,bit_manipulation,29,5718,109,128,0.8515625,3.941954787000617,0.840260600142822,0.8124340889449001,0.09513816019587268
base,bit_manipulation,31,5718,114,128,0.890625,3.919617070650983,0.8275871700392279,0.8078303014302713,0.14270724029380902
base,bit_manipulation,34,5718,104,128,0.8125,3.6750416951789533,0.7912860426667302,0.7574234898135493,0.10947883875480938
base,bit_manipulation,36,5718,106,128,0.828125,3.697148512873609,0.7927944245142022,0.761979689278966,0.11262679258481986
base,bit_manipulation,38,5718,110,128,0.859375,3.7545439447440128,0.7987574997797197,0.773808847125982,0.11192724728926198
base,bit_manipulation,40,5718,105,128,0.8203125,3.5727853760353327,0.7676871110245717,0.7363485348809693,0.14428121720881426
base,bit_manipulation,43,5718,115,128,0.8984375,3.948361117218193,0.8321217270140739,0.8137544290642136,0.10335781741867786
base,bit_manipulation,45,5718,121,128,0.9453125,3.8443458162703386,0.8016083646105078,0.7923169492279217,0.14445610353270374
base,bit_manipulation,47,5718,123,128,0.9609375,4.159902662269897,0.8644520565023034,0.8573529916339396,0.06068555438964673
base,bit_manipulation,49,5718,116,128,0.90625,3.8783611930326845,0.8158804266065736,0.7993274942806369,0.14637985309548793
base,bit_manipulation,51,5718,120,128,0.9375,4.1155442540776495,0.8596451910925025,0.8482107551309848,0.08761804826862539
base,equation_transform,1,2214,122,128,0.953125,4.608624651129093,0.9593264909156922,0.9498342756432245,0.02935862691960253
base,equation_transform,3,2214,121,128,0.9453125,4.601681454626796,0.9595251107978086,0.94840328776297,0.032068654019873535
base,equation_transform,6,2214,117,128,0.9140625,4.398425918726363,0.9236172342607135,0.9065124658091439,0.052845528455284556
base,equation_transform,8,2214,101,128,0.7890625,4.016984347696771,0.8703964139263967,0.8278976282501027,0.09259259259259259
base,equation_transform,10,2214,92,128,0.71875,3.694692034112758,0.81708641860561,0.7614734107466332,0.12556458897922312
base,equation_transform,13,2214,85,128,0.6640625,3.598296729345629,0.8099435498316099,0.7416064067248451,0.11065943992773261
base,equation_transform,15,2214,92,128,0.71875,3.5522526173696205,0.7855857382186259,0.7321167478662846,0.12059620596205962
base,equation_transform,17,2214,94,128,0.734375,4.095614260621619,0.9014634658100026,0.8441031975989898,0.04742547425474255
base,equation_transform,20,2214,89,128,0.6953125,3.904919752263303,0.869956804386079,0.8048011945228039,0.10885275519421861
base,equation_transform,22,2214,112,128,0.875,4.1934546463273055,0.8887264277709409,0.8642680317784551,0.08175248419150859
base,equation_transform,24,2214,89,128,0.6953125,3.420665898174012,0.7620724015962427,0.7049968182619485,0.15627822944896116
base,equation_transform,27,2214,93,128,0.7265625,3.7547900980566533,0.828396619584076,0.7738595791493312,0.13188798554652212
base,equation_transform,29,2214,91,128,0.7109375,3.7123882049978154,0.8229890998898367,0.7651205790292899,0.1016260162601626
base,equation_transform,31,2214,93,128,0.7265625,3.973211419688212,0.8765855941364263,0.8188760587982259,0.0930442637759711
base,equation_transform,34,2214,83,128,0.6484375,3.565408993813629,0.8068652640520286,0.7348282677308331,0.11743450767841011
