row_index,id,family,prompt_len,answer_len
0,00066667,bit_manipulation,468,8
2,00189f6a,text_decryption,458,17
37,0122d53a,numeral_system,218,2
41,0133bcec,equation_transform,210,4
72,0201e198,bit_manipulation,489,8
76,02102281,text_decryption,465,28
82,022b5f8b,text_decryption,359,19
109,02c15453,equation_transform,190,1
144,03dc4d0c,gravity_formula,320,5
146,03e2bedc,text_decryption,338,23
183,04f03c7e,numeral_system,230,6
216,05d90bdf,text_decryption,363,27
218,05e780c4,numeral_system,219,3
220,05fc4fcb,numeral_system,213,5
263,07249300,numeral_system,210,7
273,07735828,unit_conversion,218,4
288,07d1cd39,bit_manipulation,468,8
294,07f8b9ab,unit_conversion,202,4
325,08b0756a,numeral_system,228,6
360,09a4e845,unit_conversion,245,5
362,09b26a48,numeral_system,216,2
364,09bb197a,text_decryption,360,32
368,09d5ee68,equation_transform,198,4
397,0aa2c5bf,numeral_system,205,2
399,0ab0fe37,numeral_system,228,5
405,0af037a5,text_decryption,466,27
434,0bb4cc45,numeral_system,208,4
436,0bb68c48,numeral_system,219,3
469,0cb88778,bit_manipulation,510,8
471,0cbe2c1b,unit_conversion,241,5
473,0cce92d8,numeral_system,207,3
506,0daa32de,unit_conversion,221,4
553,0ea93e44,numeral_system,206,2
584,0f74fa8e,numeral_system,223,5
613,1029ef5a,gravity_formula,352,5
615,10491812,numeral_system,224,4
617,105255db,numeral_system,208,4
650,11084f88,text_decryption,281,18
658,112bd01f,gravity_formula,354,4
685,11b7435d,text_decryption,382,22
687,11d08160,numeral_system,221,4
689,11d6c32f,text_decryption,418,17
722,12d4a2df,equation_transform,197,2
728,12fe3d99,gravity_formula,320,4
730,1302c7df,text_decryption,324,29
757,13aeb4e7,text_decryption,315,30
794,14955cab,numeral_system,235,5
798,14a31439,text_decryption,332,27
816,1520013c,equation_transform,210,2
829,1564de32,numeral_system,210,4
833,15805129,numeral_system,206,7
839,15b1b62e,unit_conversion,246,4
866,16a09dd6,gravity_formula,282,5
890,1741e260,text_decryption,475,32
901,1785b78c,numeral_system,217,3
940,18962913,text_decryption,356,30
975,197728ae,gravity_formula,352,6
981,19dbc251,numeral_system,209,3
1010,1ab54795,equation_transform,207,1
1047,1bde7dfb,gravity_formula,280,5
1049,1be1e238,unit_conversion,201,4
1051,1bf3f0f1,unit_conversion,198,4
1082,1cce5949,equation_transform,197,3
1092,1d32e66f,text_decryption,278,23
1119,1de7225c,gravity_formula,316,5
1154,1ef25240,gravity_formula,352,5
1158,1effebd0,numeral_system,223,7
1208,203aee7d,gravity_formula,318,3
1226,20b7fcad,numeral_system,221,4
1228,20c15ca0,numeral_system,207,6
1232,20d3e997,text_decryption,435,28
1234,20e6b2d1,equation_transform,211,2
1263,21b173bd,unit_conversion,240,4
1265,21b90d9f,equation_transform,207,4
1269,21c09ced,numeral_system,205,7
1271,21d4018f,text_decryption,454,19
1298,22a82f3f,unit_conversion,199,5
1300,22bb13b8,gravity_formula,352,6
1302,22c29ed9,numeral_system,218,2
1304,22c679ac,gravity_formula,318,6
1335,23b0eb54,equation_transform,183,4
1340,23d9e764,text_decryption,281,26
1347,23f8e7cd,numeral_system,221,6
1370,24b1872e,numeral_system,226,3
1413,25fa4c2c,gravity_formula,349,3
1417,2600cbae,unit_conversion,244,4
1418,26063a96,numeral_system,202,5
1442,26dbd20d,equation_transform,186,4
1444,26e2d26a,gravity_formula,353,5
1446,26e5d2f9,text_decryption,351,23
1452,26fe52a0,text_decryption,458,31
1474,276f6cc6,text_decryption,274,21
1479,278e987a,numeral_system,221,4
1481,279d4423,text_decryption,309,32
1514,2894ae33,gravity_formula,283,5
1551,29c5f854,gravity_formula,319,5
1588,2af7134e,equation_transform,192,2
1635,2c3368cf,text_decryption,324,17
1652,2cbcd822,gravity_formula,319,3
1695,2dd48cac,equation_transform,194,3
1711,2e5b0b54,numeral_system,201,3
1734,2f18b11f,gravity_formula,353,6
1738,2f3ebe0b,text_decryption,322,29
1740,2f46a715,equation_transform,210,4
1767,2fc9fc75,bit_manipulation,489,8
1804,30b4543c,gravity_formula,351,6
1839,31adea79,unit_conversion,202,5
1841,31b1d38b,numeral_system,216,3
1882,32a31236,equation_transform,198,2
1884,32b17b5c,unit_conversion,243,4
1911,335fa8ce,unit_conversion,246,5
1913,336953fa,gravity_formula,353,6
1948,34390bf1,gravity_formula,353,5
1960,348c5e8e,text_decryption,307,16
1983,35514214,numeral_system,220,7
2020,361cfce9,text_decryption,348,28
2055,36eab3e6,numeral_system,208,7
2057,37148c4b,gravity_formula,354,5
2092,37f04e3e,equation_transform,184,4
2096,380cd444,text_decryption,329,22
