row_index,id,family,prompt_len,answer_len
30,00d9f682,numeral_system,228,1
33,00efa37c,text_decryption,481,36
42,0140788e,unit_conversion,224,5
83,022c1a0d,numeral_system,213,4
99,028c71d7,gravity_formula,317,4
131,035c4c40,equation_transform,207,2
146,03e2bedc,text_decryption,338,23
149,03ef6857,numeral_system,217,5
202,058b2d19,text_decryption,309,26
231,062fd9cb,gravity_formula,286,5
240,06881e47,bit_manipulation,447,8
243,069813dc,gravity_formula,281,5
257,070e986f,unit_conversion,200,5
300,0819520a,equation_transform,208,3
311,084f0513,unit_conversion,221,5
318,086e5409,gravity_formula,285,4
354,09832849,unit_conversion,223,5
355,0988e4dd,unit_conversion,202,4
379,0a1988b2,numeral_system,231,3
385,0a41d1b5,gravity_formula,320,6
412,0b26be60,bit_manipulation,468,8
451,0c1a09ce,bit_manipulation,489,8
456,0c2e102c,unit_conversion,246,5
475,0cdb0aae,equation_transform,205,3
476,0cddfe30,numeral_system,230,3
486,0d3974ba,unit_conversion,223,5
518,0df82d52,equation_transform,206,3
524,0e0b13ac,text_decryption,406,25
548,0e7fb350,numeral_system,221,3
576,0f2fa7dd,text_decryption,401,28
617,105255db,numeral_system,208,4
620,105c8b72,bit_manipulation,447,8
629,108f1feb,unit_conversion,224,5
634,10b1ffc8,unit_conversion,246,5
638,10d7bd1b,equation_transform,182,2
646,10fdae00,equation_transform,182,3
657,1126e314,bit_manipulation,447,8
721,12cce7b5,unit_conversion,223,5
733,130d51dc,numeral_system,209,4
737,132ec6ae,bit_manipulation,468,8
770,1411152e,unit_conversion,243,5
798,14a31439,text_decryption,332,27
812,15027e5b,unit_conversion,246,5
845,15e79ae0,gravity_formula,283,5
883,17038d51,unit_conversion,242,4
889,172d2417,bit_manipulation,468,8
901,1785b78c,numeral_system,217,3
907,17d4849f,gravity_formula,284,6
942,18a44fbc,unit_conversion,202,5
953,18cdf0fa,text_decryption,373,21
968,1950808e,text_decryption,374,26
976,19968602,equation_transform,183,4
992,1a2ac571,gravity_formula,319,5
1004,1a7f4579,text_decryption,333,20
1012,1abaffca,bit_manipulation,447,8
1017,1adac02d,gravity_formula,352,4
1025,1b36ce68,gravity_formula,350,4
1027,1b3beb8f,equation_transform,205,3
1034,1b6366af,equation_transform,209,3
1039,1b818620,gravity_formula,319,5
1040,1ba0e448,numeral_system,230,2
1121,1deaf759,bit_manipulation,510,8
1131,1e30d2a0,unit_conversion,200,5
1145,1e99e3e2,unit_conversion,241,5
1153,1ee54412,equation_transform,203,2
1167,1f30afb9,numeral_system,203,5
1179,1f7cf3b9,equation_transform,192,4
1194,1fd65d86,bit_manipulation,489,8
1203,201dfb1c,gravity_formula,318,4
1225,20b581ce,numeral_system,220,1
1226,20b7fcad,numeral_system,221,4
1251,21519be7,equation_transform,181,2
1262,21b09667,numeral_system,204,4
1275,21e46a71,unit_conversion,245,5
1276,21ee162c,equation_transform,185,3
1291,227edfe3,numeral_system,219,2
1307,22e28f23,bit_manipulation,510,8
1372,24b60af3,bit_manipulation,447,8
1379,24e662dd,unit_conversion,246,5
1428,264b2118,bit_manipulation,510,8
1432,265fea81,numeral_system,215,4
1457,2716c739,unit_conversion,245,5
1473,27661a37,equation_transform,194,3
1478,278805ba,numeral_system,226,5
1505,285e5797,gravity_formula,287,6
1521,28b6bc51,bit_manipulation,447,8
1526,28eabe84,unit_conversion,246,5
1552,29e1527c,gravity_formula,318,4
1572,2a838077,unit_conversion,246,5
1587,2af69b67,text_decryption,357,30
1602,2b53fea0,numeral_system,231,6
1612,2b88fafb,bit_manipulation,468,8
1628,2bf73df4,gravity_formula,319,6
1630,2c017f70,equation_transform,199,4
1656,2ce41663,bit_manipulation,489,8
1694,2dd26fa7,numeral_system,209,4
1738,2f3ebe0b,text_decryption,322,29
1803,30b35adc,bit_manipulation,447,8
1807,30ba3adf,numeral_system,216,8
1812,30e4b199,equation_transform,193,3
1836,31a4c9ef,bit_manipulation,489,8
1838,31ac5131,gravity_formula,351,5
1872,326532e7,text_decryption,352,28
1875,327955b8,text_decryption,373,23
1885,32bac32f,numeral_system,231,4
1911,335fa8ce,unit_conversion,246,5
1920,3385a400,bit_manipulation,510,8
1963,34a31822,bit_manipulation,510,8
1965,34a98769,bit_manipulation,447,8
1970,34ced001,text_decryption,443,32
1994,357974d4,gravity_formula,349,5
2022,3624fa25,unit_conversion,200,5
2061,372bb422,equation_transform,184,4
2063,3742dbc3,unit_conversion,244,5
2079,37c4e709,unit_conversion,201,5
2171,3a61d8ad,bit_manipulation,510,8
2172,3a6286e9,equation_transform,200,4
2175,3a6e7b0b,gravity_formula,356,5
2186,3aa84029,text_decryption,418,29
2194,3aec6985,bit_manipulation,510,8
2195,3aeee6cd,numeral_system,229,7
2213,3b68fc1a,gravity_formula,284,5
2223,3b9e33f6,equation_transform,195,3
2260,3cf0f8cc,equation_transform,192,1
2286,3daf5caa,text_decryption,309,20
2292,3dce464f,unit_conversion,245,5
2300,3e169057,gravity_formula,285,6
2307,3e46f10f,gravity_formula,285,5
2308,3e4fdced,gravity_formula,351,5
2402,412a209f,equation_transform,195,4
2410,414f87c2,text_decryption,426,29
