row_index,id,family,prompt_len,answer_len
0,00066667,bit_manipulation,468,8
2,00189f6a,text_decryption,458,17
20,00754598,bit_manipulation,489,8
37,0122d53a,numeral_system,218,2
72,0201e198,bit_manipulation,489,8
109,02c15453,equation_transform,190,1
131,035c4c40,equation_transform,207,2
144,03dc4d0c,gravity_formula,320,5
152,03fba6b6,text_decryption,297,20
181,04d492a9,bit_manipulation,510,8
216,05d90bdf,text_decryption,363,27
218,05e780c4,numeral_system,219,3
253,06ef5c5c,unit_conversion,244,5
288,07d1cd39,bit_manipulation,468,8
290,07d61ec8,bit_manipulation,489,8
360,09a4e845,unit_conversion,245,5
362,09b26a48,numeral_system,216,2
364,09bb197a,text_decryption,360,32
397,0aa2c5bf,numeral_system,205,2
469,0cb88778,bit_manipulation,510,8
475,0cdb0aae,equation_transform,205,3
506,0daa32de,unit_conversion,221,4
508,0dc5fa8a,text_decryption,316,33
516,0ddca8bf,bit_manipulation,447,8
541,0e5b7624,unit_conversion,245,5
549,0e81751f,gravity_formula,284,5
578,0f59f534,gravity_formula,321,5
586,0f7d64e7,numeral_system,209,3
613,1029ef5a,gravity_formula,352,5
615,10491812,numeral_system,224,4
623,106aeb25,bit_manipulation,489,8
722,12d4a2df,equation_transform,197,2
730,1302c7df,text_decryption,324,29
742,1347c69f,numeral_system,235,2
757,13aeb4e7,text_decryption,315,30
798,14a31439,text_decryption,332,27
829,1564de32,numeral_system,210,4
831,157228d7,equation_transform,182,2
866,16a09dd6,gravity_formula,282,5
870,16bae9a9,unit_conversion,201,5
901,1785b78c,numeral_system,217,3
903,17c4b57e,unit_conversion,201,5
938,188615db,text_decryption,399,22
975,197728ae,gravity_formula,352,6
1001,1a70ea7d,unit_conversion,200,5
1005,1a813172,gravity_formula,284,4
1010,1ab54795,equation_transform,207,1
1012,1abaffca,bit_manipulation,447,8
1047,1bde7dfb,gravity_formula,280,5
1082,1cce5949,equation_transform,197,3
1119,1de7225c,gravity_formula,316,5
1137,1e6792e6,unit_conversion,199,5
1154,1ef25240,gravity_formula,352,5
1158,1effebd0,numeral_system,223,7
1160,1f04fa8d,gravity_formula,285,6
1191,1fcdff78,gravity_formula,284,5
1226,20b7fcad,numeral_system,221,4
1232,20d3e997,text_decryption,435,28
1263,21b173bd,unit_conversion,240,4
1273,21dff465,equation_transform,181,2
1298,22a82f3f,unit_conversion,199,5
1300,22bb13b8,gravity_formula,352,6
1335,23b0eb54,equation_transform,183,4
1347,23f8e7cd,numeral_system,221,6
1370,24b1872e,numeral_system,226,3
1372,24b60af3,bit_manipulation,447,8
1376,24d5d3da,text_decryption,372,32
1407,25e5f165,text_decryption,404,21
1409,25e89624,equation_transform,183,3
1442,26dbd20d,equation_transform,186,4
1514,2894ae33,gravity_formula,283,5
1516,289ed2c5,unit_conversion,223,5
1536,294557bb,bit_manipulation,489,8
1551,29c5f854,gravity_formula,319,5
1588,2af7134e,equation_transform,192,2
1592,2b16044a,bit_manipulation,489,8
1601,2b50eb88,bit_manipulation,489,8
1623,2bd7896f,unit_conversion,198,5
1625,2bdf114f,gravity_formula,320,5
1629,2bf76506,unit_conversion,241,5
1635,2c3368cf,text_decryption,324,17
1660,2cf587f6,equation_transform,208,3
1695,2dd48cac,equation_transform,194,3
1732,2f0041de,gravity_formula,285,5
1767,2fc9fc75,bit_manipulation,489,8
1804,30b4543c,gravity_formula,351,6
1816,31063a4d,bit_manipulation,468,8
1820,312e2579,numeral_system,230,2
1839,31adea79,unit_conversion,202,5
1847,31d2b597,text_decryption,425,28
1876,327cb428,gravity_formula,283,5
1911,335fa8ce,unit_conversion,246,5
1913,336953fa,gravity_formula,353,6
1948,34390bf1,gravity_formula,353,5
1983,35514214,numeral_system,220,7
2020,361cfce9,text_decryption,348,28
2022,3624fa25,unit_conversion,200,5
2055,36eab3e6,numeral_system,208,7
2057,37148c4b,gravity_formula,354,5
2059,371c5e74,text_decryption,308,21
2092,37f04e3e,equation_transform,184,4
2166,3a322ba8,gravity_formula,318,4
2168,3a3f05d5,bit_manipulation,447,8
2201,3b219cec,numeral_system,210,3
2203,3b2e0cc3,equation_transform,205,1
2236,3bfa64a7,text_decryption,373,27
2240,3c1d3e96,text_decryption,425,38
2308,3e4fdced,gravity_formula,351,5
2380,40632c79,text_decryption,296,31
2382,40700056,text_decryption,352,18
2417,4179c322,equation_transform,211,2
2452,4245e455,equation_transform,204,3
2456,4265fac8,gravity_formula,282,5
2489,434ca68a,equation_transform,208,3
2524,444ca75d,numeral_system,216,5
2542,44e22bad,numeral_system,210,8
2567,45ae41c8,bit_manipulation,510,8
2596,4684abe0,equation_transform,186,3
