row_index,id,family,prompt_len,answer_len
8,00457d26,equation_transform,196,2
18,006a46d3,unit_conversion,245,5
38,01248b76,bit_manipulation,468,8
43,01466f0b,unit_conversion,245,5
65,01e09228,bit_manipulation,468,8
78,021ed764,bit_manipulation,489,8
90,024101d9,bit_manipulation,447,8
91,02422609,unit_conversion,224,5
119,0311b798,bit_manipulation,447,8
128,033d2b33,text_decryption,423,22
134,037c45c6,gravity_formula,319,5
144,03dc4d0c,gravity_formula,320,5
152,03fba6b6,text_decryption,297,20
198,054d3e92,gravity_formula,321,6
206,059bced5,numeral_system,208,5
243,069813dc,gravity_formula,281,5
244,0698da5a,text_decryption,375,26
266,073c40ce,text_decryption,404,26
287,07ceed47,bit_manipulation,447,8
327,08b2b48d,bit_manipulation,468,8
346,094de91f,bit_manipulation,489,8
354,09832849,unit_conversion,223,5
364,09bb197a,text_decryption,360,32
370,09eb1f7e,unit_conversion,246,5
380,0a1d7306,text_decryption,370,32
383,0a3c8962,gravity_formula,353,5
387,0a45c663,gravity_formula,285,5
424,0b632ea3,text_decryption,409,28
429,0ba6498d,unit_conversion,200,5
469,0cb88778,bit_manipulation,510,8
477,0ceac403,bit_manipulation,447,8
482,0d10d1ae,unit_conversion,224,5
504,0da5e774,numeral_system,215,6
509,0dc8c0f2,unit_conversion,224,5
514,0dd5caf4,bit_manipulation,489,8
531,0e3519cd,unit_conversion,245,5
543,0e700e9d,numeral_system,224,4
551,0e897e03,gravity_formula,353,5
569,0f0e199c,bit_manipulation,489,8
577,0f56374e,bit_manipulation,489,8
587,0f7ddd75,bit_manipulation,510,8
616,104dc8aa,bit_manipulation,447,8
617,105255db,numeral_system,208,4
624,107badb0,bit_manipulation,447,8
647,10ff9431,equation_transform,208,4
688,11d16271,text_decryption,309,26
737,132ec6ae,bit_manipulation,468,8
747,136ffda9,gravity_formula,319,5
795,1496dfeb,bit_manipulation,447,8
811,14fd5550,gravity_formula,283,5
852,161d4390,bit_manipulation,468,8
864,16762e77,unit_conversion,222,4
869,16b6326b,unit_conversion,201,5
875,16db2c74,bit_manipulation,447,8
882,16fac7bb,unit_conversion,222,5
951,18c54744,bit_manipulation,447,8
984,19f4b3d6,bit_manipulation,510,8
1016,1acf4fe4,numeral_system,208,1
1055,1c12abfd,numeral_system,213,4
1065,1c41e87d,gravity_formula,282,5
1066,1c4861e6,equation_transform,192,3
1068,1c4ac945,text_decryption,434,25
1105,1d930d32,bit_manipulation,447,8
1111,1db21126,gravity_formula,318,5
1130,1e2de753,numeral_system,199,5
1132,1e378206,text_decryption,460,23
1183,1fa37461,text_decryption,318,33
1197,1fe9b923,bit_manipulation,489,8
1229,20c252d7,bit_manipulation,447,8
1248,2136dd4f,unit_conversion,222,5
1269,21c09ced,numeral_system,205,7
1278,22045c05,text_decryption,280,15
1279,22097b2d,unit_conversion,244,5
1282,221798d9,text_decryption,330,25
1292,22844f06,text_decryption,318,19
1318,233ba645,numeral_system,208,4
1320,23410e94,bit_manipulation,489,8
1321,2345be90,numeral_system,220,3
1346,23f6ead8,unit_conversion,224,5
1367,249ec418,text_decryption,301,22
1451,26f0f445,text_decryption,315,34
1482,279e83b8,text_decryption,291,28
1493,27dd189a,gravity_formula,284,5
1494,27e7a8dc,numeral_system,210,1
1497,27f3491e,text_decryption,373,29
1501,2817d770,bit_manipulation,510,8
1507,287e5272,bit_manipulation,489,8
1512,2891395e,text_decryption,283,20
1536,294557bb,bit_manipulation,489,8
1570,2a7e1d11,gravity_formula,287,6
1573,2a8957eb,text_decryption,327,30
1583,2aeb5265,equation_transform,181,2
1597,2b3e06c9,bit_manipulation,468,8
1609,2b709308,text_decryption,336,20
1616,2bb09a3e,bit_manipulation,510,8
1622,2bd4edeb,text_decryption,355,21
1634,2c2aa555,unit_conversion,223,5
1641,2c6cb766,bit_manipulation,510,8
1643,2c8c6f91,gravity_formula,320,5
1654,2cd4b72a,unit_conversion,243,5
1691,2dcb7ec6,bit_manipulation,489,8
1693,2dd1bc5e,numeral_system,204,6
1694,2dd26fa7,numeral_system,209,4
1712,2e5e7fe7,bit_manipulation,468,8
1731,2efd8e6f,numeral_system,213,3
1750,2f6f8725,numeral_system,207,4
1755,2f7f58de,bit_manipulation,468,8
1756,2f883df4,gravity_formula,321,6
1759,2fa48efe,bit_manipulation,489,8
1760,2fa5e04e,numeral_system,227,3
1771,2fe8752a,numeral_system,219,4
1810,30d70872,gravity_formula,352,5
1847,31d2b597,text_decryption,425,28
1872,326532e7,text_decryption,352,28
1877,32815b79,equation_transform,196,2
1894,32fffab2,numeral_system,211,2
1902,33151f4c,numeral_system,217,4
1937,3400e0d5,bit_manipulation,468,8
1944,341a468c,bit_manipulation,447,8
1953,3457cb83,text_decryption,373,31
1956,34710a9b,numeral_system,207,4
1987,3564baf1,bit_manipulation,510,8
1989,35661801,equation_transform,184,3
2005,35be20ab,unit_conversion,224,5
2079,37c4e709,unit_conversion,201,5
2087,37d81990,bit_manipulation,510,8
2092,37f04e3e,equation_transform,184,4
2117,3895fa75,text_decryption,307,30
2128,39180e01,text_decryption,307,30
2147,39870fb9,bit_manipulation,489,8
2149,39918d5b,text_decryption,420,23
2163,3a1f8cf0,bit_manipulation,447,8
2164,3a221bb6,text_decryption,377,29
2171,3a61d8ad,bit_manipulation,510,8
2207,3b48a251,unit_conversion,221,5
2229,3bd56850,bit_manipulation,510,8
2258,3cd80c64,bit_manipulation,447,8
2262,3cff3de2,unit_conversion,239,5
2294,3dcf9cc3,numeral_system,224,6
2296,3dd5fcd2,gravity_formula,284,5
2336,3f4c03c0,numeral_system,217,4
2357,3fded912,numeral_system,212,5
2408,4145ec70,bit_manipulation,447,8
2419,418aedaf,numeral_system,209,5
2420,4195699e,bit_manipulation,510,8
2450,423a75de,numeral_system,219,6
2549,45076dc9,equation_transform,184,1
2567,45ae41c8,bit_manipulation,510,8
2580,45f536ce,numeral_system,210,3
2596,4684abe0,equation_transform,186,3
2608,46c21917,gravity_formula,284,5
2619,4714458f,numeral_system,206,4
2620,471dd348,gravity_formula,350,4
2633,47720c17,bit_manipulation,468,8
2634,4773a00a,unit_conversion,243,4
2690,48f7eda6,text_decryption,374,17
2699,4931f8f6,numeral_system,209,3
2762,4abfaa9f,gravity_formula,353,6
2763,4ac1279b,numeral_system,206,4
2794,4bb7eecb,text_decryption,295,30
