task_id,task_num,primary_family,confidence,candidate_flags,n_train,n_test,n_arc_gen,n_examples,shape_relation,same_shape_examples,expand_examples,shrink_examples,mixed_examples,input_shape_modes,output_shape_modes,input_colors,output_colors,new_output_colors,input_color_list,output_color_list,new_output_color_list,all_identity,global_mapping_consistent,global_mapping,mapping_conflicts,fixed_geometric_transforms,local_3x3_score,local_3x3_conflicts,local_3x3_samples,input_nonzero_preserved_ratio,added_nonzero_cells,changed_cells,notes
task001,1,expansion_tiling,medium,shape_expands,5,1,262,268,expands,0,268,0,0,3x3:268,9x9:268,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is larger than input, often by fixed scale or tiling."
task002,2,fill_enclosed_regions,medium,adds_new_color_preserves_input|new_output_colors,5,1,262,268,same_shape_variable_size,268,0,0,0,20x20:75;19x19:40;18x18:39;16x16:21;15x15:20,20x20:75;19x19:40;18x18:39;16x16:21;15x15:20,03,034,4,"[0,3]","[0,3,4]",[4],False,False,"{""0"":0,""3"":3}",9828,,0.919284,1421,17605,1.0,9828,9828,Same shape; input is mostly preserved while new fill or marking cells are added.
task003,3,expansion_tiling,medium,shape_expands|new_output_colors,3,1,261,265,expands,0,265,0,0,6x3:265,9x3:265,01,02,2,"[0,1]","[0,2]",[2],False,False,,1,,0.0,0,0,0.0,0,0,"Output is larger than input, often by fixed scale or tiling."
task004,4,same_shape_local_rule,medium,local_3x3_consistent,2,1,262,265,same_shape_variable_size,265,0,0,0,9x8:8;15x9:7;16x12:7;16x14:7;8x10:7,9x8:8;15x9:7;16x12:7;16x14:7;8x10:7,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0}",6720,,1.0,0,8667,0.664881,2252,4504,Same shape; output appears explainable by local neighborhoods.
task005,5,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,21x21:266,21x21:266,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",7751,,0.926228,1952,26460,1.0,7751,7751,Output preserves input and adds missing pattern cells.
task006,6,cropping_extraction,medium,shape_shrinks|new_output_colors,3,1,262,266,shrinks,0,0,266,0,3x7:266,3x3:266,015,02,2,"[0,1,5]","[0,2]",[2],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
task007,7,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,7x7:266,7x7:266,0123456789,123456789,,"[0,1,2,3,4,5,6,7,8,9]","[1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":2,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",8902,,0.471429,1554,2940,1.0,10051,10051,Output preserves input and adds missing pattern cells.
task008,8,mask_object_selection,low,same_shape_nonlocal_changes,3,1,262,266,same_shape_variable_size,266,0,0,0,12x16:8;9x8:7;14x9:6;9x16:6;10x13:6,12x16:8;9x8:7;14x9:6;9x16:6;10x13:6,028,028,,"[0,2,8]","[0,2,8]",[],False,False,"{""0"":0,""2"":0,""8"":8}",2072,,0.943798,493,8772,0.427615,1795,3590,"Same shape; cells/objects are kept, removed, or highlighted."
task009,9,pattern_completion,low,mostly_preserves_input_adds_or_changes,3,1,261,265,same_shape_variable_size,265,0,0,0,17x17:65;23x23:58;20x20:50;29x29:50;26x26:42,17x17:65;23x23:58;20x20:50;29x29:50;26x26:42,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",7312,,0.939695,1875,31092,1.0,7312,7312,Output preserves input and adds missing pattern cells.
task010,10,mask_object_selection,low,same_shape_nonlocal_changes|new_output_colors,2,1,262,265,same_shape_variable_size,265,0,0,0,9x9:265,9x9:265,05,01234,1234,"[0,5]","[0,1,2,3,4]","[1,2,3,4]",False,False,"{""0"":0,""5"":1}",3154,,0.862551,668,4860,0.0,0,5276,"Same shape; cells/objects are kept, removed, or highlighted."
task011,11,mask_object_selection,low,same_shape_nonlocal_changes,4,1,262,267,same_shape_variable_size,267,0,0,0,11x11:267,11x11:267,0234568,023456,,"[0,2,3,4,5,6,8]","[0,2,3,4,5,6]",[],False,False,"{""0"":2,""2"":2,""3"":2,""4"":0,""5"":5,""6"":0,""8"":0}",16159,,0.946281,390,7260,0.52381,4375,15055,"Same shape; cells/objects are kept, removed, or highlighted."
task012,12,pattern_completion,low,mostly_preserves_input_adds_or_changes,2,1,262,265,same_shape_variable_size,265,0,0,0,12x12:265,12x12:265,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",6360,,0.944444,480,8640,1.0,6360,6360,Output preserves input and adds missing pattern cells.
task013,13,pattern_completion,low,mostly_preserves_input_adds_or_changes,4,1,262,267,same_shape_variable_size,267,0,0,0,11x24:7;21x10:6;10x22:6;11x30:5;22x8:5,11x24:7;21x10:6;10x22:6;11x30:5;22x8:5,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,"{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9}",12588,,0.775975,3023,13494,1.0,12588,12588,Output preserves input and adds missing pattern cells.
task014,14,cropping_extraction,medium,shape_shrinks,3,1,262,266,shrinks,0,0,266,0,15x17:7;16x15:7;23x19:6;23x21:6;23x17:6,7x5:13;7x6:10;6x5:10;5x7:9;8x5:9,0123456789,0123456789,,"[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9]",[],False,False,,1,,0.0,0,0,0.0,0,0,"Output is smaller than input, often selected object/subgrid."
