pair_a,pair_b,seed,orientation,seat0,seat1,status0,status1,reward0,reward1,winner,margin0,runtime_seconds,error
v4,v5,5101,A0_B1,v4,v5,DONE,DONE,32098.0,48785.0,v5,-16687.0,6.546,
v4,v5,5101,B0_A1,v5,v4,DONE,DONE,48785.0,32098.0,v5,16687.0,6.4915,
v4,v5,5102,A0_B1,v4,v5,DONE,DONE,31578.0,47452.0,v5,-15874.0,6.3695,
v4,v5,5102,B0_A1,v5,v4,DONE,DONE,47452.0,31578.0,v5,15874.0,6.4181,
v4,v5,5103,A0_B1,v4,v5,DONE,DONE,31829.0,48397.0,v5,-16568.0,6.5282,
v4,v5,5103,B0_A1,v5,v4,DONE,DONE,48397.0,31829.0,v5,16568.0,6.5031,
v4,v5,5104,A0_B1,v4,v5,DONE,DONE,32823.0,47511.0,v5,-14688.0,6.5208,
v4,v5,5104,B0_A1,v5,v4,DONE,DONE,47511.0,32823.0,v5,14688.0,6.5819,
v4,v5,5105,A0_B1,v4,v5,DONE,DONE,28680.0,48029.0,v5,-19349.0,6.8163,
v4,v5,5105,B0_A1,v5,v4,DONE,DONE,48029.0,28708.0,v5,19321.0,6.7869,
v4,v5,5106,A0_B1,v4,v5,DONE,DONE,32831.0,48850.0,v5,-16019.0,6.75,
v4,v5,5106,B0_A1,v5,v4,DONE,DONE,48850.0,32831.0,v5,16019.0,6.9156,
v4,v5,5107,A0_B1,v4,v5,DONE,DONE,33170.0,46473.0,v5,-13303.0,6.9893,
v4,v5,5107,B0_A1,v5,v4,DONE,DONE,46473.0,33170.0,v5,13303.0,7.0367,
v4,v5,5108,A0_B1,v4,v5,DONE,DONE,35747.0,48770.0,v5,-13023.0,6.6388,
v4,v5,5108,B0_A1,v5,v4,DONE,DONE,48770.0,35747.0,v5,13023.0,6.7025,
v4,v5,5109,A0_B1,v4,v5,DONE,DONE,27656.0,47494.0,v5,-19838.0,6.2975,
v4,v5,5109,B0_A1,v5,v4,DONE,DONE,47363.0,27130.0,v5,20233.0,6.3426,
v4,v5,5110,A0_B1,v4,v5,DONE,DONE,27578.0,46180.0,v5,-18602.0,6.3235,
v4,v5,5110,B0_A1,v5,v4,DONE,DONE,46180.0,27578.0,v5,18602.0,6.3277,
v4,v5,5111,A0_B1,v4,v5,DONE,DONE,29587.0,48190.0,v5,-18603.0,6.456,
v4,v5,5111,B0_A1,v5,v4,DONE,DONE,48190.0,29672.0,v5,18518.0,6.5265,
v4,v5,5112,A0_B1,v4,v5,DONE,DONE,33616.0,48266.0,v5,-14650.0,6.3435,
v4,v5,5112,B0_A1,v5,v4,DONE,DONE,48640.0,32851.0,v5,15789.0,6.3904,
v4,v5,5113,A0_B1,v4,v5,DONE,DONE,30624.0,48564.0,v5,-17940.0,6.4667,
