episode,valid,seed,v18_seat,original_v18_margin,static800_margin,static800_margin_improvement,static800_action_divergences,static800_result,learned_margin,learned_margin_improvement,learned_action_divergences,learned_result,learned_threshold_mean,learned_threshold_min,learned_threshold_max,learned_minus_static800_margin,learned_same_actions_as_static800,error
109339695,True,1768679730,1,-1981.0,-1981.0,0.0,0,LOSS,-1981.0,0.0,0,LOSS,797.3391357421875,797.0107421875,797.4174194335938,0.0,True,
109340760,True,118475622,1,-18390.0,-18390.0,0.0,0,LOSS,-18390.0,0.0,0,LOSS,797.3397094726563,797.0287475585938,797.42578125,0.0,True,
109343065,True,684605190,1,-9353.0,-9353.0,0.0,0,LOSS,-9353.0,0.0,0,LOSS,797.3318929036458,797.0263061523438,797.4227294921875,0.0,True,
109368669,True,1592617563,0,-16161.0,-16161.0,0.0,0,LOSS,-16161.0,0.0,0,LOSS,797.3061564127604,796.9344482421875,797.4367065429688,0.0,True,
109375252,True,1540510629,1,-7190.0,-7190.0,0.0,0,LOSS,-7190.0,0.0,0,LOSS,797.3394083658854,797.0107421875,797.4134521484375,0.0,True,
109379232,True,742471530,0,-15311.0,-18878.0,-3567.0,307,LOSS,-18878.0,-3567.0,307,LOSS,797.2847086588541,796.8384399414062,797.4179077148438,0.0,True,
109387771,True,1539046553,1,-15766.0,-15766.0,0.0,0,LOSS,-15766.0,0.0,0,LOSS,797.3046590169271,796.8920288085938,797.4107666015625,0.0,True,
109402619,True,880697393,1,-17331.0,-17331.0,0.0,0,LOSS,-17331.0,0.0,0,LOSS,797.3143229166667,796.893798828125,797.4092407226562,0.0,True,
109508501,True,718053168,1,-9985.0,-9985.0,0.0,0,LOSS,-9985.0,0.0,0,LOSS,797.2963134765625,796.7888793945312,797.4278564453125,0.0,True,
109606406,True,611185815,1,-26601.0,-26601.0,0.0,0,LOSS,-26601.0,0.0,0,LOSS,797.3188028971355,796.8983154296875,797.42236328125,0.0,True,
109637381,True,1151206947,0,-14050.0,-14050.0,0.0,0,LOSS,-14050.0,0.0,0,LOSS,797.3417358398438,797.0263061523438,797.4352416992188,0.0,True,
109660004,True,433986270,1,-9946.0,-9946.0,0.0,0,LOSS,-9946.0,0.0,0,LOSS,797.3012044270833,796.788818359375,797.4515380859375,0.0,True,
109663974,True,662062055,1,-11883.0,-11883.0,0.0,0,LOSS,-11883.0,0.0,0,LOSS,797.2929117838542,796.7911376953125,797.423095703125,0.0,True,
109670464,True,1822227843,1,-13194.0,-13194.0,0.0,0,LOSS,-13194.0,0.0,0,LOSS,797.269462076823,796.8385009765625,797.4263916015625,0.0,True,
109681808,True,1195372483,0,-33833.0,-33833.0,0.0,0,LOSS,-33833.0,0.0,0,LOSS,797.2757690429687,796.834228515625,797.4450073242188,0.0,True,
