episode,valid,seed,v18_seat,original_v18_margin,v19_margin,margin_improvement,candidate_reward_delta,opponent_reward_delta,result,action_divergences_from_original_v18,error
109339695,True,1768679730,1,-1981.0,-1981.0,0.0,0.0,0.0,LOSS,0,
109340760,True,118475622,1,-18390.0,-18390.0,0.0,0.0,0.0,LOSS,0,
109343065,True,684605190,1,-9353.0,-9353.0,0.0,0.0,0.0,LOSS,0,
109368669,True,1592617563,0,-16161.0,-16161.0,0.0,0.0,0.0,LOSS,0,
109375252,True,1540510629,1,-7190.0,-7190.0,0.0,0.0,0.0,LOSS,0,
109379232,True,742471530,0,-15311.0,-15311.0,0.0,0.0,0.0,LOSS,0,
109387771,True,1539046553,1,-15766.0,-15766.0,0.0,0.0,0.0,LOSS,0,
109402619,False,880697393,,,,,,,,,recorded-action parity failed; current engine cannot safely counterfactually evaluate this replay
109508501,True,718053168,1,-9985.0,-9985.0,0.0,0.0,0.0,LOSS,0,
109606406,False,611185815,,,,,,,,,recorded-action parity failed; current engine cannot safely counterfactually evaluate this replay
109637381,True,1151206947,0,-14050.0,-14050.0,0.0,0.0,0.0,LOSS,0,
109660004,True,433986270,1,-9946.0,-9946.0,0.0,0.0,0.0,LOSS,0,
109663974,True,662062055,1,-11883.0,-11883.0,0.0,0.0,0.0,LOSS,0,
109670464,False,1822227843,,,,,,,,,recorded-action parity failed; current engine cannot safely counterfactually evaluate this replay
109681808,True,1195372483,0,-33833.0,-33833.0,0.0,0.0,0.0,LOSS,0,
