episode,valid,seed,v19_seat,original_v19_margin,v20_margin,margin_improvement,candidate_reward_delta,opponent_reward_delta,result,action_divergences_from_original_v19,error
110783673,True,97400302,0,-9469.0,-1211.0,8258.0,10337.0,2079.0,LOSS,588,
110787062,True,1973448964,0,-26612.0,-20024.0,6588.0,-14709.0,-21297.0,LOSS,609,
110804683,True,495780082,0,-16698.0,-8359.0,8339.0,-1514.0,-9853.0,LOSS,582,
110807013,True,70911246,0,-24344.0,4991.0,29335.0,-4385.0,-33720.0,WIN,580,
110809042,True,2128642783,1,-15978.0,-16594.0,-616.0,-697.0,-81.0,LOSS,593,
110811640,True,2040005093,1,-6646.0,-5453.0,1193.0,7306.0,6113.0,LOSS,590,
110821563,True,1542568904,1,-22692.0,-26063.0,-3371.0,2389.0,5760.0,LOSS,604,
110823292,False,393602599,,,,,,,,,recorded-action parity failed; current engine cannot safely counterfactually evaluate this replay
110827092,True,1571642509,0,-15080.0,-32228.0,-17148.0,8286.0,25434.0,LOSS,614,
110829280,True,561012871,0,-5370.0,-195.0,5175.0,-4150.0,-9325.0,LOSS,588,
110832619,True,1501195710,0,-14255.0,-12821.0,1434.0,2999.0,1565.0,LOSS,579,
110833738,True,877763734,1,-4607.0,-2142.0,2465.0,2294.0,-171.0,LOSS,589,
110887451,True,1878974286,1,-2593.0,-1944.0,649.0,-3678.0,-4327.0,LOSS,585,
110910407,True,1525475799,1,-5545.0,-356.0,5189.0,2985.0,-2204.0,LOSS,578,
110923360,True,533222893,1,-6513.0,-3503.0,3010.0,9111.0,6101.0,LOSS,599,
